药材    , 纺织品      , 矿产/金属 , 畜产品/土特产   , 农产品  , 其他/待分类
丹沙    , 㲲布        , 丹沙      , 䱜              , 乳柑    , 丹沙
五加    , 二包綾      , 丹砂      , 乳柑            , 乾薑    , 五色藤盤
亭長    , 五色覆鞍氈  , 伏牛山銅器, 乾漆            , 冬筍    , 光粉
人葠    , 交梭        , 光明丹沙  , 乾薑            , 夏蒜    , 刀
人葰    , 交梭絲布    , 凝水石    , 乾酪            , 大小香秔, 刀靶
代赭    , 交梭綾      , 刀錯      , 光粉            , 大蛇粟  , 吉莫鞾
伏神    , 仙紋綾      , 利鐵      , 冬柰            , 木瓜    , 埏埴盎缶
伏苓    , 兔褐        , 剪刀      , 冬筍            , 朱橘    , 墨
假蘇    , 兩窠綾      , 印鹽      , 剌蜜            , 杭子    , 山雞
偏桃人  , 八蠶絲      , 墨        , 夏蒜            , 松實    , 山雞尾
側子    , 十樣花紋等綾, 戎鹽      , 孔翠            , 枇杷    , 席
光明丹沙, 半臂錦      , 散金      , 孔雀            , 柑      , 庫利
光明丹砂, 合羅        , 文石      , 孔雀尾          , 柿      , 庫路真二品：十乘花文、五乘碎石文
兔絲    , 吳絹        , 水銀      , 山雞            , 栗      , 弓
升麻    , 吳綾        , 消石      , 山雞尾          , 梨      , 弓材
厚朴    , 單絲羅      , 滑石      , 席              , 棃      , 拒霜薺
地膽    , 四窠綾      , 火筯      , 庫路真          , 棗      , 文刀
地骨皮  , 女稽布      , 珠        , 文刀            , 椑      , 文扇
大黃    , 孔雀羅      , 理石      , 斑竹            , 椒      , 文蛤
天門冬  , 寶花羅      , 生金      , 春酒麴          , 椒實    , 文龜
天門冬煎, 布          , 白石英    , 朱橘            , 榛實    , 斑竹
天雄    , 席          , 白鑞      , 枇杷            , 橄欖    , 春酒麴
徐長卿  , 平紗        , 石膏      , 桂子            , 橘      , 書筒
恆山    , 平紬        , 石英      , 梅              , 橘皮    , 朴硝
括蔞粉  , 弦麻        , 碌        , 梅煎            , 橙      , 柳箱
杜仲    , 彌牟        , 碌青      , 椒              , 檳榔    , 桃竹箸
杜若    , 御服        , 礜石      , 椒實            , 水土稻  , 梅煎
松蘿    , 折皂布      , 礠石      , 櫻桃            , 澡豆    , 梨
枳實    , 文綾        , 礪石      , 毛              , 烏節米  , 樺皮
枳殼    , 斑布        , 礬石      , 氈              , 牡丹    , 水葱席
柃實    , 斑竹        , 紫石      , 水兕甲          , 甘棠    , 沈香
柃殼    , 方紋綾      , 紫𨥥      , 水馬            , 白夌    , 海蛤
柏實    , 春羅        , 絳礬      , 海味            , 白藕    , 漆
柏實人  , 朝霞布      , 胡粉      , 漆器            , 白麥    , 漆器
柏脈根  , 木瓜        , 赤錢      , 烏鶻            , 竹根    , 熊
栝蔞    , 枲          , 金        , 煎玉粉屑        , 節米    , 燕脂
桂心    , 楚布        , 金屑      , 熊              , 粱米    , 牛黃
梔子    , 樗蒲綾      , 金漆      , 熊鞹            , 糟瓜    , 犀角
楓香    , 段羅        , 金薄      , 燕脂            , 糟筍瓜  , 玳瑁
水銀    , 殿額莞席    , 鉛        , 牛酥            , 糯米    , 珉玉棋子
沈香    , 毯          , 鉛器      , 牸犀角          , 紅藍    , 珠
烏梅    , 氈          , 銀        , 犀              , 紫稈粟  , 班竹
烏蛇脯  , 水紋綾      , 銀石      , 犛尾            , 紫筍茶  , 瓦硯
烏頭    , 油衣        , 銅        , 犛牛尾          , 絲      , 瓷器
牛膝    , 溪鷘綾      , 銅器      , 犬              , 縠      , 生春酒
牛黃    , 火麻布      , 銅鏡      , 狐尾            , 署預    , 生石斛
犀角    , 熟線綾      , 錫        , 甲香            , 美果華  , 甲榆
狼毒    , 獠布        , 鏤金銀器  , 白羽            , 芋      , 甲煎
甘草    , 獨窠綾      , 鐵        , 白蜜            , 茶      , 甲香
生石斛  , 班布        , 鐵器      , 白魚            , 茶牙    , 白石脂
甲香    , 瑞綾        , 鐵精      , 白鵰羽          , 荔支    , 白角簟
當歸    , 瓜子羅      , 鐵鏡      , 皮骨𩨸          , 葛      , 石井
白膠    , 生縠        , 雲母      , 石斛            , 葛粉    , 石器
白膠香  , 白交梭      , 青銅鏡    , 石蜜            , 蒲萄    , 石蜜
白芒    , 白紵        , 鹽        , 石鷰            , 蓽豆    , 石鷰
白花蛇  , 白紵布      , 鹽山      , 竹簟            , 蔗      , 碁子
白藥實  , 白紵細布    , 麩金      , 竹飀            , 蔗糖    , 碌
知母    , 白編綾      , 麹金      , 筆              , 蕉      , 磁器
石斛    , 白縠        , 黃礬      , 筍              , 薑      , 竹扇
石膏    , 皂布        ,           , 糖蟹            , 藕      , 竹箭
石菖蒲  , 皺紋吉莫    ,           , 糖香            , 赤松澗米, 竹飀
石蜜    , 竹布        ,           , 糟瓜            , 酸棗    , 笴
石龍芮  , 竹席        ,           , 糟白魚          , 香棗    , 筆
碌青    , 竹箭        ,           , 紅藍            , 香秔    , 箭竹
秦艽    , 竹簟        ,           , 紙              , 鳳棲梨  , 簟
空青    , 竹紵練      ,           , 綵藤            , 麥      , 紅藍
紫草    , 竹綀        ,           , 羆              , 麰      , 紙
紫葛    , 竹鞵        ,           , 羚角            , 麰麥    , 紫草
細辛    , 笴          ,           , 羽              , 黃稑米  , 紫菜
續髓    , 簟          ,           , 翠羽            , 黃粟    , 紵
署預    , 粲席        ,           , 肚魚            , 黃𥻶    , 絁
羌活    , 紅紫綿巾    ,           , 花油            ,         , 絲
羚羊角  , 紅綾        ,           , 苟𣏌實          ,         , 綬草
芍藥    , 紋綾        ,           , 苟𣏌葉          ,         , 綿
芎藭    , 紗          ,           , 荔枝煎          ,         , 綿紙
芑      , 紬          ,           , 葛粉            ,         , 羆
芒硝    , 細綾        ,           , 蒲萄酒          ,         , 翠羽
芣苜實  , 細葛        ,           , 蒲萄酒及煎玉粉屑,         , 胡桐律
芫青    , 紵          ,           , 蔗糖            ,         , 胡祿
花蓯蓉  , 紵布        ,           , 藕粉            ,         , 胡粉
苟𣏌    , 紵綀簟      ,           , 蘇薰席          ,         , 芑茨
苦藥    , 紵綀縳巾    ,           , 蛟革            ,         , 芒硝
茅菊    , 紵葛        ,           , 蜀馬            ,         , 花口瓢
菴䕡    , 紵錫布      ,           , 蜜              ,         , 荃臺
落鴈木  , 絁          ,           , 蜜薑            ,         , 草席
葶藶    , 絲          ,           , 蠟              ,         , 草豉
蒼礬    , 絲布        ,           , 蠟燭            ,         , 莁荑
蓯蓉    , 絲綿        ,           , 角              ,         , 落麻
蔓荊實  , 絲葛        ,           , 象              ,         , 葦簟
藥子    , 絲電        ,           , 豹尾            ,         , 蒲萄五物酒漿煎皺乾
藥實    , 絲頭紅毯    ,           , 貲布            ,         , 蕉
蚺蛇膽  , 絹          ,           , 速霍角          ,         , 藤器
蛇粟    , 綀          ,           , 酥              ,         , 藤紙
蜀漆    , 綸巾        ,           , 野猪黃          ,         , 藨席
蝱蟲    , 綺          ,           , 野雞            ,         , 藨蓆
覆盆    , 綾          ,           , 野馬            ,         , 蘇薰席
詹糖香  , 綿          ,           , 野馬胯革        ,         , 蚺蛇膽
豆蔻    , 綿紙        ,           , 野馬革          ,         , 蛟革
貝母    , 綿紬        ,           , 陰牙角          ,         , 角弓
買子本實, 緊紗        ,           , 青他鹿角        ,         , 象齒
連翹    , 緊鞓        ,           , 青蟲            ,         , 赤檉
酸棗人  , 緋氈        ,           , 革              ,         , 酒器
酸棗仁  , 緋綾        ,           , 革角            ,         , 酒杓
鍾乳    , 緋葛        ,           , 飛生鳥          ,         , 金沙泉
防葵    , 縠          ,           , 駝毛褐          ,         , 鏡匣
防風    , 繒          ,           , 高良薑          ,         , 雙陸子
阿魏截根, 繡葉綾      ,           , 魚子            ,         , 零陵香
附子    , 羅          ,           , 魚臍            ,         , 青碌彩
陟釐    , 胡女布      ,           , 魚鮬            ,         , 鞵
零陵香  , 胡布        ,           , 魬              ,         , 鞹
雷丸    , 花布        ,           , 鮓              ,         , 食單
鬼臼    , 花紋等羅    ,           , 鮫革            ,         , 馬策
鹦香    , 花紋綾      ,           , 鯄魚            ,         , 馬鞌
鹿茸    , 花紗        ,           , 鯔皮            ,         , 高良薑
麝      , 花紬        ,           , 鱘              ,         , 鮫革
麝香    , 花練        ,           , 鱧鮬            ,         , 鳳翮席
黃樟    , 葛          ,           , 鳥獸            ,         , 鳳翮葦席
黃牙    , 葛布        ,           , 鳳翮席          ,         , 鹿毛筆
黃精    , 葛纖        ,           , 鴨胞            ,         , 黃屑
黃蘗    , 蓮綾        ,           , 鵰              ,         , 黃石𨥥
黃連    , 蕃客袍錦    ,           , 鵰羽            ,         , 鼊皮
鼈甲    , 蕉          ,           , 鶻              ,         , 龍莎
鼊皮    , 蕉布        ,           , 鷂              ,         , 龍鬚席
龍骨    , 藤簟        ,           , 鸚鵡            ,         , 龍鳳席
𥐼砂    , 蘇薰席      ,           , 鹿尾            ,         , 𩩉矢
        , 衫段        ,           , 鹿脯            ,         , 𪌭扇
        , 衫羅        ,           , 鹿舌            ,         , 𪕅鼥鼠
        , 被錦        ,           , 鹿革            ,         , 
        , 覆鞌氈      ,           , 麖皮鞾          ,         , 
        , 覆鞍氈      ,           , 麝香            ,         , 
        , 貲布        ,           , 黃牛臆          ,         , 
        , 赤錢        ,           , 黃魚䱹          ,         , 
        , 輕容        ,           , 鼈甲            ,         , 
        , 野苧麻      ,           , 龜              ,         , 
        , 金絲布      ,           , 𤕠牛            ,         , 
        , 錦          ,           ,                 ,         , 
        , 鏡花綾      ,           ,                 ,         , 
        , 陟釐        ,           ,                 ,         , 
        , 隔布        ,           ,                 ,         , 
        , 隔紗        ,           ,                 ,         , 
        , 雙紃        ,           ,                 ,         , 
        , 雙絲綾      ,           ,                 ,         , 
        , 雙距綾      ,           ,                 ,         , 
        , 雲花綾      ,           ,                 ,         , 
        , 青紵布      ,           ,                 ,         , 
        , 鞌面氈      ,           ,                 ,         , 
        , 鞾氈        ,           ,                 ,         , 
        , 鞾鞹二物    ,           ,                 ,         , 
        , 駝毛褐      ,           ,                 ,         , 
        , 高杼布      ,           ,                 ,         , 
        , 魚口綾      ,           ,                 ,         , 
        , 鮫革        ,           ,                 ,         , 
        , 鳥眼綾      ,           ,                 ,         , 
        , 鵝溪絹      ,           ,                 ,         , 
        , 麻          ,           ,                 ,         , 
        , 龍莎        ,           ,                 ,         , 
        , 龍鬚席      ,           ,                 ,         , 
        , 龜甲綾      ,           ,                 ,         , 
